rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
68,Evaluating Human- and AI-Generated Code Quality Based on Code Smell,Di Guo; Yadong Zhou; Dong Xu; Juan Wang; Xueli Jia,research-article,June 2026,"ACSTA '26: Proceedings of the 2026 International Conference on AI, Computer Security and Trusted Data",10.1145/3811874.3812123,https://dl.acm.org/doi/10.1145/3811874.3812123,"Software quality plays a critical role in the long-term evolution and maintainability of software systems.AI-tools can rapidly produce functional implementations, which has greatly enhanced development efficiency. However, the internal quality of AI-..."
69,"ACSTA '26: Proceedings of the 2026 International Conference on AI, Computer Security and Trusted Data",,proceeding,June 2026,,10.1145/3811874,https://dl.acm.org/doi/proceedings/10.1145/3811874,
70,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,Parth Atulbhai Gandhi; David Tayouri; Akansha Shukla; Beni Ifland; Yuval Elovici; Rami Puzis; Asaf Shabtai,research-article,June 2026,ASIA CCS '26: Proceedings of the ACM Asia Conference on Computer and Communications Security,10.1145/3779208.3785380,https://dl.acm.org/doi/10.1145/3779208.3785380,"Evaluating the security of multi-agent systems (MASs) powered by large language models (LLMs) is challenging, primarily because of the systems' complex internal dynamics and the evolving nature of LLM vulnerabilities. Traditional attack graph (AG) ..."
71,ASIA CCS '26: Proceedings of the ACM Asia Conference on Computer and Communications Security,Manindra Agrawal; Ian Molloy; Vinayaka Pandit; Debdeep Mukhopadhyay; Kenny Paterson,proceeding,June 2026,,10.1145/3779208,https://dl.acm.org/doi/proceedings/10.1145/3779208,
72,A Prompt-Constrained Feedback Control Mechanism for Large Language Model-Based Peer Code Review Systems,Xudan Cui,research-article,June 2026,ICBDIE '26: Proceedings of the 2026 International Conference on Big Data and Informatization Education,10.1145/3806980.3807027,https://dl.acm.org/doi/10.1145/3806980.3807027,"Large language models (LLMs) are increasingly integrated into programming education; however, their unconstrained generative behavior often results in unstable and uncontrollable feedback in code review tasks. This study proposes a prompt-constrained ..."
73,ICBDIE '26: Proceedings of the 2026 International Conference on Big Data and Informatization Education,,proceeding,June 2026,,10.1145/3806980,https://dl.acm.org/doi/proceedings/10.1145/3806980,
74,SmartDoc: A Context-Aware Agentic Method Comment Generation Plugin,Vahid Etemadi; Gregorio Robles,short-paper,June 2026,IDE '26: Proceedings of the 3rd ACM/IEEE International Workshop on Integrated Development Environments,10.1145/3786151.3788601,https://dl.acm.org/doi/10.1145/3786151.3788601,"Context: The software maintenance phase involves many activities such as code refactoring, bug fixing, code review or testing. Program comprehension is key to all these activities, as it demands developers to grasp the knowledge (e.g., implementation ..."
75,IDE '26: Proceedings of the 3rd ACM/IEEE International Workshop on Integrated Development Environments,Yaroslav Golubev; Danny Dig; Nikolaos Tsantalis; Katie Fraser; Mauricio Verano Merino,proceeding,June 2026,,10.1145/3786151,https://dl.acm.org/doi/proceedings/10.1145/3786151,"Despite the research community's desire to improve the productivity of software developers, it is challenging for research to move beyond papers into the everyday practice of software development. Because integrated development environments (IDEs) are one ..."
76,DeepTest '26: Proceedings of the 7th IEEE/ACM International Workshop on Deep Learning for Testing and Testing for Deep Learning,,proceeding,June 2026,,10.1145/3786154,https://dl.acm.org/doi/proceedings/10.1145/3786154,
77,"ReCode '26: Proceedings of the 1st Workshop on Code Translation, Transformation, and Modernization",,proceeding,June 2026,,10.1145/3786180,https://dl.acm.org/doi/proceedings/10.1145/3786180,
78,ETRA '26: Proceedings of the 2026 Symposium on Eye Tracking Research and Applications,Aladine Chetouani; Arantxa Vilanueva; Alessandro Bruno; Rebeca Echeverria,proceeding,May 2026,,10.1145/3797246,https://dl.acm.org/doi/proceedings/10.1145/3797246,
79,Reasoning-Intensive Regression,Diane Tchuindjo; Omar Khattab,research-article,May 2026,CAIS '26: Proceedings of the ACM Conference on AI and Agentic Systems,10.1145/3786335.3813139,https://dl.acm.org/doi/10.1145/3786335.3813139,"AI researchers and practitioners increasingly apply large language models (LLMs) to what we call reasoning-intensive regression (RiR), i.e., deducing subtle numerical scores from text. Unlike standard language regression tasks such as sentiment or ..."
80,CAIS '26: Proceedings of the ACM Conference on AI and Agentic Systems,,proceeding,May 2026,,10.1145/3786335,https://dl.acm.org/doi/proceedings/10.1145/3786335,
81,"Not All Problems Are Nails, Not All Tools Should Be Hammers: A Position Paper on Agent Usage in Software Engineering Tasks",Juuso Rytilahti; Panu Puhtila; Oshani Weerakoon; Erkki Kaila; Tuomas Mäkilä,research-article,May 2026,AGENT '26: Proceedings of the 2026 International Workshop on Agentic Engineering,10.1145/3786167.3788413,https://dl.acm.org/doi/10.1145/3786167.3788413,"The use of AI-powered tools in software engineering (SWE) has increased significantly, primarily due to advancements in large language models (LLMs). LLMs can generate code from natural language prompts and even produce complete software artifacts. Along ..."
82,AGENT '26: Proceedings of the 2026 International Workshop on Agentic Engineering,,proceeding,May 2026,,10.1145/3786167,https://dl.acm.org/doi/proceedings/10.1145/3786167,"Welcome to the 1st International Workshop on Agentic Engineering (AGENT 2026), co-located with the 48th International Conference on Software Engineering (ICSE 2026). Agentic Engineering is an emerging discipline focused on the design, development, and ..."
83,EduCHI '26: Proceedings of the 8th Annual Symposium on HCI Education,,proceeding,May 2026,,10.1145/3803869,https://dl.acm.org/doi/proceedings/10.1145/3803869,
84,Bita: A Conversational Assistant for Fairness Testing,Keeryn Johnson; Cleyton Magalhães; Ronnie de Souza Santos,research-article,May 2026,BoatSE '26: Proceedings of the 2026 7th International Workshop on Bots and Agents in Software Engineering,10.1145/3786161.3788459,https://dl.acm.org/doi/10.1145/3786161.3788459,"Bias in AI systems can lead to unfair and discriminatory outcomes, especially when left untested before deployment. Although fairness testing aims to identify and mitigate such bias, existing tools are often difficult to use, requiring advanced expertise ..."
85,BoatSE '26: Proceedings of the 2026 7th International Workshop on Bots and Agents in Software Engineering,,proceeding,May 2026,,10.1145/3786161,https://dl.acm.org/doi/proceedings/10.1145/3786161,"Welcome to the 7th International Workshop on Bots and Agents in Software Engineering (BoatSE), held in conjunction with the 48th ACM/IEEE International Conference on Software Engineering (ICSE 2026) in Rio de Janeiro, Brazil. BoatSE is the premier annual ..."
86,MCP-Scanner: Detecting Security Risks in Model Context Protocol Systems,Parya Abadeh; Martin Lochner; Taha Ansari; Fattane Zarrinkalam,research-article,May 2026,EnCyCriS '26: Proceedings of the 2026 ACM/IEEE 7th International Workshop on Engineering and Cybersecurity of Critical Systems,10.1145/3786160.3788471,https://dl.acm.org/doi/10.1145/3786160.3788471,"Integrating Artificial Intelligence (AI) models, especially Large Language Models (LLMs), with external tools is crucial for performing real-world tasks. However, the lack of a standard way to connect these tools has led to fragmented systems and new ..."
87,EnCyCriS '26: Proceedings of the 2026 ACM/IEEE 7th International Workshop on Engineering and Cybersecurity of Critical Systems,,proceeding,May 2026,,10.1145/3786160,https://dl.acm.org/doi/proceedings/10.1145/3786160,This marks the 7th edition of the International Workshop on Engineering and Cybersecurity of Critical Systems (EnCyCriS) in conjunction with the 48th International Conference on Software Engineering (ICSE 2026). In each new edition the EnCyCriS workshop ...
88,ICIEAI '25: Proceedings of the 2025 3rd International Conference on Information Education and Artificial Intelligence,,proceeding,May 2026,,10.1145/3799457,https://dl.acm.org/doi/proceedings/10.1145/3799457,
89,On-the-Fly Generation-Quality Enhancement of Deep Code Models via Model Collaboration,Weifeng Sun; Naiqi Huang; Meng Yan; Zhongxin Liu; Hongyan Li; Yan Lei; David Lo,research-article,May 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 6",10.1145/3765752,https://dl.acm.org/doi/10.1145/3765752,"The growing prominence of deep code models in automating software engineering tasks is undeniable. However, their deployment encounters significant challenges in on-the-fly performance enhancement, which refers to dynamically improving the performance of ..."
90,Just-in-Time Detection of Silent Security Patches,Xunzhu Tang; Kisub Kim; Saad Ezzini; Yewei Song; Haoye Tian; Jacques Klein; Tegawendé Bissyandé,research-article,May 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 6",10.1145/3749370,https://dl.acm.org/doi/10.1145/3749370,"Open source code is pervasive. In this setting, embedded vulnerabilities are spreading to downstream software at an alarming rate. Although such vulnerabilities are generally identified and addressed rapidly, inconsistent maintenance policies can cause ..."
91,AI Can See What You Can’t See: How LLM-Agents Complement Human-Based Gender-Inclusive Usability Testing,Joy Geuenich; Frank Joublin; Antonello Ceravola; Stefan Brandenburg; Jonathan Dodge,research-article,May 2026,"ACM Transactions on Interactive Intelligent Systems (TIIS), Volume 16, Issue 2",10.1145/3801978,https://dl.acm.org/doi/10.1145/3801978,"Inclusive usability testing, such as the GenderMag method, wants to identify gender-related usability problems in digital interfaces. Large Language Models (LLMs) have been used by usability engineers in usability evaluations but their contribution is ..."
92,CoCoder_Repair: MISRA Code Rule Repair Based on Large Language Models,Zhenxin Fu; Guitao Cao; Min Cai,research-article,May 2026,AICCC '25: Proceedings of the 2025 8th Artificial Intelligence and Cloud Computing Conference,10.1145/3789982.3790042,https://dl.acm.org/doi/10.1145/3789982.3790042,"In the automotive industry, code quality detection and repair is a rigorous, complex, and extremely important task. It typically involves assessing whether the code meets relevant industry standard rules, such as the MISRA C/CPP rules and AutoSAR rules, ..."
93,"Enhancing Python Programming through ChatGPT-5 Study Mode: A Study on Learning Achievement, Motivation, and Self-Regulated Learning in Serious Game Learning with CodeCombat",Wan Chong Choi; Chi In Chang; Hong Fai Choi,research-article,May 2026,AICCC '25: Proceedings of the 2025 8th Artificial Intelligence and Cloud Computing Conference,10.1145/3789982.3790043,https://dl.acm.org/doi/10.1145/3789982.3790043,"This study examines a teaching intervention in a Grade 5–6 Python course that combines CodeCombat with OpenAI GPT-5 Study Mode. The Study Mode includes the “Study and Learn” interface, which provides step-by-step Socratic guidance rather than complete ..."
94,AICCC '25: Proceedings of the 2025 8th Artificial Intelligence and Cloud Computing Conference,,proceeding,May 2026,,10.1145/3789982,https://dl.acm.org/doi/proceedings/10.1145/3789982,
